date,open,high,low,close,volume
2025-01-09,57600.0,57700.0,56100.0,56100.0,24490592.0
2025-01-10,56100.0,56500.0,55200.0,55300.0,16059223.0
2025-01-13,54600.0,55000.0,54100.0,54100.0,16868600.0
2025-01-14,54200.0,54600.0,53700.0,53900.0,17465926.0
2025-01-15,54100.0,54700.0,53500.0,53700.0,18625025.0
2025-01-16,54200.0,55000.0,54100.0,54300.0,18627298.0
2025-01-17,53800.0,54100.0,53200.0,53700.0,18805344.0
2025-01-20,53600.0,53900.0,53300.0,53400.0,11822531.0
2025-01-21,53700.0,54300.0,53300.0,53500.0,13535702.0
2025-01-22,53400.0,54400.0,53100.0,54300.0,18341991.0
2025-01-23,53700.0,54100.0,53500.0,53700.0,15588067.0
2025-01-24,53600.0,53800.0,53200.0,53700.0,11867631.0
2025-01-31,52200.0,53000.0,51700.0,52400.0,42186279.0
2025-02-03,51100.0,51400.0,50800.0,51000.0,32344897.0
2025-02-04,51600.0,53600.0,51500.0,52700.0,27214851.0
2025-02-05,53600.0,53800.0,52800.0,52900.0,15974885.0
2025-02-06,53400.0,54000.0,53200.0,54000.0,16466025.0
2025-02-07,53900.0,54200.0,53600.0,53700.0,14476866.0
2025-02-10,53000.0,55900.0,52900.0,55600.0,27577591.0
2025-02-11,55500.0,56300.0,55000.0,55700.0,24596196.0
2025-02-12,55100.0,55900.0,54500.0,55800.0,26428596.0
2025-02-13,56100.0,56400.0,55600.0,55800.0,22448377.0
2025-02-14,56000.0,57300.0,56000.0,56000.0,23979779.0
2025-02-17,56100.0,56500.0,55700.0,56000.0,11916027.0
2025-02-18,56200.0,57200.0,55900.0,56900.0,22131007.0
2025-02-19,57400.0,58900.0,57300.0,58700.0,25395151.0
2025-02-20,59100.0,59100.0,58100.0,58400.0,21589059.0
2025-02-21,58400.0,58500.0,57100.0,58200.0,22198428.0
2025-02-24,57300.0,57700.0,57200.0,57300.0,14138471.0
2025-02-25,56600.0,57800.0,56500.0,57200.0,14625181.0
2025-02-26,57000.0,57100.0,56100.0,56600.0,18117091.0
2025-02-27,56500.0,57100.0,56200.0,56300.0,14975356.0
2025-02-28,55400.0,55700.0,54500.0,54500.0,28036698.0
2025-03-04,53900.0,55000.0,53800.0,54500.0,18553933.0
2025-03-05,55100.0,55400.0,54000.0,54000.0,16578817.0
2025-03-06,54100.0,54500.0,54000.0,54300.0,12258101.0
2025-03-07,53500.0,54200.0,53400.0,53700.0,14274992.0
2025-03-10,53500.0,54800.0,53500.0,53700.0,12921670.0
2025-03-11,52500.0,54100.0,52500.0,53600.0,17740891.0
2025-03-12,53800.0,55300.0,53600.0,54900.0,17973221.0
2025-03-13,55800.0,55900.0,54200.0,54700.0,24132151.0
2025-03-14,54500.0,55100.0,54400.0,54700.0,10845154.0
2025-03-17,55500.0,57800.0,55400.0,57600.0,35559021.0
