date,open,high,low,close,volume
2025-02-03,82.13,83.38,82.07,82.65,5460116.0
2025-02-04,81.62,83.44,81.27,82.62,9880721.0
2025-02-05,86.43,87.42,85.09,85.73,14099043.0
2025-02-06,86.72,88.95,86.67,87.17,10575995.0
2025-02-07,88.69,88.77,86.14,86.42,8700839.0
2025-02-10,85.7,85.92,83.65,83.91,9555036.0
2025-02-11,83.51,84.245,82.87,83.74,5046817.0
2025-02-12,81.02,82.36,80.53,81.79,6427373.0
2025-02-13,79.54,80.14,78.7,78.83,10809249.0
2025-02-14,78.58,79.0663,77.82,77.87,9875485.0
2025-02-18,82.1,82.68,81.06,82.33,8712148.0
2025-02-19,82.94,83.63,82.56,83.4,5948149.0
2025-02-20,82.93,84.0,82.71,83.74,5015229.0
2025-02-21,88.39,89.23,85.7401,88.08,15128831.0
2025-02-24,88.86,91.1234,88.12,90.59,10476274.0
2025-02-25,92.28,93.8,89.0,90.95,11465917.0
2025-02-26,91.03,91.12,89.28,89.55,7387830.0
2025-02-27,88.95,90.19,88.91,89.22,6953839.0
2025-02-28,89.86,90.715,89.38,90.65,5962470.0
2025-03-03,90.66,90.74,89.0,89.37,4810878.0
2025-03-04,88.3,88.65,86.33,87.5,5203611.0
2025-03-05,91.5,91.9,90.29,90.86,8011740.0
2025-03-06,87.95,89.0305,87.46,88.04,5450864.0
2025-03-07,88.37,88.55,86.35,87.17,5278177.0
2025-03-10,79.81,80.7,78.3,78.95,12603365.0
2025-03-11,78.88,79.27,77.0001,78.11,7433455.0
2025-03-12,74.32,75.34,73.8,74.79,10858198.0
2025-03-13,76.02,77.34,75.4,75.89,8228170.0
2025-03-14,75.75,77.55,75.24,77.15,6505934.0
2025-03-17,79.64,80.56,79.35,80.15,5995754.0
2025-03-18,82.21,82.57,80.21,80.98,5696385.0
2025-03-19,80.15,80.23,78.48,79.0,6920565.0
2025-03-20,79.22,79.56,78.49,78.79,4572466.0
2025-03-21,75.96,77.29,75.52,76.86,5880455.0
2025-03-24,74.97,76.0,74.895,75.33,8083188.0
2025-03-25,75.88,76.05,73.2,73.6,8895588.0
2025-03-26,72.555,72.86,71.6,71.73,7613813.0
2025-03-27,70.155,70.64,69.77,70.16,7970846.0
2025-03-28,70.17,70.35,69.18,69.3,5867021.0
2025-03-31,67.72,69.63,66.88,69.44,6826134.0
2025-04-01,69.98,70.0,67.64,68.03,6213757.0
2025-04-02,67.51,68.72,67.32,68.24,7337234.0
2025-04-03,68.43,68.54,67.0,67.1,8822513.0
2025-04-04,65.23,65.47,62.365,62.55,10869538.0
2025-04-07,61.44,65.28,60.6076,63.64,14551902.0
2025-04-08,64.92,65.05,60.83,61.6,8100539.0
2025-04-09,60.49,65.3,59.515,65.09,13243325.0
2025-04-10,63.12,63.24,59.32,61.21,9983981.0
2025-04-11,63.73,65.0,63.23,64.73,11392138.0
2025-04-14,66.48,66.75,65.33,66.06,8067341.0
2025-04-15,65.64,65.9455,63.86,64.49,5945621.0
2025-04-16,64.33,64.41,62.4,62.88,6302636.0
2025-04-17,57.91,59.06,57.28,58.08,32220629.0
2025-04-21,58.25,59.3,57.0,58.33,13419321.0
2025-04-22,59.01,60.18,58.92,59.91,11697878.0
2025-04-23,61.77,62.43,60.89,61.3,9128730.0
2025-04-24,62.475,62.74,61.8419,62.63,7891068.0
2025-04-25,60.67,62.27,60.5701,62.08,7835183.0
2025-04-28,62.19,63.2461,61.97,62.62,6280331.0
2025-04-29,65.26,65.41,64.155,65.16,10923695.0
