date,open,high,low,close,volume
2025-05-02,27.0,27.4,26.1,26.24,11570524.0
2025-05-05,25.63,25.83,24.8601,25.47,5554045.0
2025-05-06,24.79,28.965,24.53,28.66,18741447.0
2025-05-07,27.69,27.71,25.7,27.12,16737991.0
2025-05-08,28.2,28.41,26.44,26.95,10946637.0
2025-05-09,27.29,28.73,26.16,28.09,16100117.0
2025-05-12,29.73,30.245,28.16,28.85,15034198.0
2025-05-13,29.2,32.63,29.17,32.03,23396850.0
2025-05-14,34.55,39.37,34.1,37.01,39267338.0
2025-05-15,35.96,38.05,34.4501,37.41,17537887.0
2025-05-16,38.53,39.9,36.15,37.72,18870151.0
2025-05-19,35.53,39.83,34.88,39.73,19004431.0
2025-05-20,41.33,41.33,36.85,37.57,16339817.0
2025-05-21,37.0,39.39,35.685,36.81,15484921.0
2025-05-22,36.81,40.43,35.85,39.72,19220420.0
2025-05-23,44.66,52.17,43.63,48.87,92503108.0
2025-05-27,49.52,54.48,46.12,53.9,45495528.0
2025-05-28,53.49,57.57,53.35,55.24,34571965.0
2025-05-29,55.725,56.0,51.73,52.93,21202502.0
2025-05-30,49.41,54.3599,49.41,52.72,23477970.0
2025-06-02,50.715,53.58,50.24,52.44,15037074.0
2025-06-03,56.0,58.69,49.33,49.77,31354874.0
2025-06-04,49.425,51.18,45.05,49.09,19198973.0
2025-06-05,48.28,49.85,46.01,47.16,13324772.0
2025-06-06,47.1,50.55,46.4,50.29,13254596.0
2025-06-09,51.7,54.74,48.76,54.26,15735209.0
2025-06-10,54.28,56.5,50.79,52.54,14780158.0
2025-06-11,53.56,68.9102,53.36,68.03,55913501.0
2025-06-12,63.61,71.0,62.88,64.48,38026508.0
2025-06-13,61.95,65.6,60.6,63.66,31769000.0
2025-06-16,67.0,73.55,64.8007,65.45,29283430.0
2025-06-17,68.26,69.4,61.79,62.77,24789620.0
2025-06-18,63.265,63.96,59.62,62.02,14650025.0
2025-06-20,63.0,63.95,57.53,57.95,15026112.0
2025-06-23,57.39,58.7,52.12,55.11,19045026.0
2025-06-24,57.83,61.45,57.205,60.71,18003714.0
2025-06-25,63.1,64.78,55.3494,55.57,17089041.0
2025-06-26,57.25,57.75,55.41,55.85,9984580.0
2025-06-27,59.55,62.1,54.05,55.26,45939913.0
2025-06-30,56.35,57.3031,53.8,55.99,13456701.0
2025-07-01,54.9,55.2499,51.53,51.74,13224944.0
2025-07-02,51.58,52.19,50.08,51.33,10017991.0
2025-07-03,52.75,54.3,51.24,53.72,8869152.0
2025-07-07,53.865,56.33,51.8801,55.94,11928589.0
2025-07-08,57.315,57.59,53.25,53.52,15042311.0
2025-07-09,53.99,55.4,51.5204,53.93,10649905.0
2025-07-10,53.65,56.42,52.88,55.45,11426308.0
2025-07-11,54.33,57.65,53.91,56.08,15123430.0
2025-07-14,55.6,62.66,54.5174,62.41,25911754.0
2025-07-15,62.88,63.07,59.24,60.95,21973697.0
2025-07-16,60.625,64.75,60.12,64.37,21524259.0
2025-07-17,65.81,67.93,64.59,67.17,20810379.0
2025-07-18,67.18,69.14,65.0201,68.98,15254975.0
2025-07-21,69.57,70.98,62.43,62.51,19275348.0
2025-07-22,63.0,63.98,58.88,61.32,15071045.0
2025-07-23,63.55,70.06,63.53,66.97,33806903.0
2025-07-24,66.61,77.17,65.81,74.59,40387997.0
2025-07-25,71.71,75.9,71.22,75.5,18541257.0
2025-07-28,77.5,77.545,72.28,75.5,17264408.0
2025-07-29,75.1,78.1275,70.61,71.01,15896412.0
2025-07-30,71.47,78.34,71.43,75.63,22211125.0
2025-07-31,76.86,80.42,75.5,76.59,23970920.0
2025-08-01,72.89,74.5,67.8,71.49,19769723.0
