date,prediction,position,asset_return,strategy_return,cost,equity,buy_hold_equity
2024-01-11,0.10936375590970214,0.0,0.010879533888399351,0.0,0.0,1.0,1.0108795338883994
2024-01-12,0.110098701845139,0.01860412957380274,-0.0027217419148254374,-7.854183361056653e-05,2.790619436070411e-05,0.9999214581663894,1.008128180690176
2024-01-16,0.11830303235709391,0.03778593151418193,0.011059381744884966,0.0003891163382908484,2.8772702910568786e-05,1.0003105439427695,1.019277455088205
2024-01-17,0.1191203279819942,0.05874390677931438,-0.0076039589986062195,-0.0004781232214655512,3.1436962897698684e-05,0.9998322722430336,1.0115269111115106
2024-01-18,0.052809190960447096,0.08023357372840015,0.04888888888888898,0.003890295770742608,3.223450042362865e-05,1.0037219155031927,1.0609793378769623
2024-01-19,0.038384005636089104,0.08853359727501395,0.03896610169491521,0.003437359119514941,1.2450035319920699e-05,1.0071720681829046,1.1023215666528798
2024-01-22,0.04372934294854745,0.09426796078503384,0.016492928106494498,0.001546153154708376,8.60154526502984e-06,1.0087293104534596,1.120502077001924
2024-01-23,0.03831967061030316,0.10091415126620716,-0.006050393195313752,-0.0006205395798536826,9.96928572175998e-06,1.0081033539909647,1.1137225988598967
2024-01-24,0.03012882499341279,0.10683648150489457,0.03087207143203141,0.003289379993207977,8.88349535803111e-06,1.0114193889946683,1.148105522487367
2024-01-25,0.03381545984976283,0.11142249737260879,0.005074790508262206,0.0005585668082718143,6.879023801571328e-06,1.011984334294603,1.1539319174953695
2024-01-26,0.08513406714861921,0.11669959585538825,-0.06595084854057254,-0.007704353018728906,7.915647724169195e-06,1.004187649733774,1.0778291283785
2024-01-29,0.0831591402690194,0.12706471269616224,0.0011845771393297344,0.00013497027861421345,1.5547675261160978e-05,1.0043231852206396,1.0791059001240808
2024-01-30,0.09461509031502248,0.1374450386065294,-0.007882282362351778,-0.0010989510924665567,1.557048886555075e-05,1.0032194831590517,1.070600082720423
2024-01-31,0.09476652241583369,0.14950030953808643,-0.002200386327370296,-0.00034704134344256803,1.8082906397335548e-05,1.0028713245218486,1.0682443489363234
2024-02-01,0.07826364925918246,0.16187140050761992,0.008517944919533837,0.001360255037117408,1.8556636454300226e-05,1.00423548529261,1.0773435954611663
2024-02-02,0.06790246890200675,0.17232484721795777,0.008713069604406654,0.0014857982183133017,1.5680170065506774e-05,1.005727576587425,1.086730565196281
2024-02-05,0.04987032892236282,0.18160439371155468,0.017474185861795055,0.0031594696092939164,1.391931974039537e-05,1.0089051423008817,1.1057202970742146
2024-02-06,0.07422368979017484,0.18851470584475008,-0.021565183450429348,-0.004075719682845555,1.0365468199793102e-05,1.0047931277542819,1.081875236022946
2024-02-07,0.06058834899111236,0.19873633655001197,0.012100661547155944,0.0023895086996554796,1.533244605789283e-05,1.0071940896744047,1.094966642090309
2024-02-08,0.06881341818040371,0.20724671497256597,0.015749712596485388,0.003251310629749808,1.2765567633831007e-05,1.0104687905243843,1.1122120520059702
2024-02-09,0.012401336106181675,0.2170657181484969,0.05062329221167694,0.010973852774204968,1.4728504763896395e-05,1.0215575262645278,1.1685158877160173
2024-02-12,0.020010624518732017,0.2170657181484969,-0.0026931363496459637,-0.0005845875758077226,0.0,1.0209603364267006,1.1653689151036706
