date,prediction,position,asset_return,strategy_return,cost,equity,buy_hold_equity
2024-01-11,0.024657748024265246,0.0,-0.004397477416056006,-0.0,0.0,1.0,0.995602522583944
2024-01-12,0.024657748024265246,0.00388210138507212,-0.005649524070396428,-2.7755177296292435e-05,5.82315207760818e-06,0.9999722448227037,0.9899778421680586
2024-01-16,0.024657748024265246,0.007767722303375269,-0.01095003615577983,-9.088527144747129e-05,5.8284313774547235e-06,0.9998813620737931,0.9791375490028975
2024-01-17,0.024657748024265246,0.011654250344395687,-0.02994116213487452,-0.0003547715911834991,5.8297920615306276e-06,0.9995266325719755,0.9498210328958581
2024-01-18,0.024657748024265246,0.015530540026070117,0.011735993970498404,0.00017645188958203138,5.8144345225116454e-06,0.9997030009349803,0.9609681268109764
2024-01-19,0.024657748024265246,0.019306260952797614,0.011990067399787252,0.000225819788671833,5.663581390091245e-06,0.999928753655386,0.9724901994204873
2024-01-22,0.024657748024265246,0.023118366716140835,0.011883062254627097,0.00026899883226818574,5.718158645014833e-06,1.0001977333224708,0.9840463610022157
2024-01-23,0.024657748024265246,0.026956454496428885,0.0005542661170192531,9.183917691909747e-06,5.757131670432075e-06,1.0002069190561291,0.9845917845576952
2024-01-24,0.024657748024265246,0.03081298536694826,0.0064051518194094825,0.00019157705297876735,5.784796305779063e-06,1.0003985357500509,0.9908982444179306
2024-01-25,0.024657748024265246,0.0346830190235298,0.034711710471996504,0.0011981018641546409,5.805050484872307e-06,1.0015971151006307,1.0252940173853755
2024-01-26,0.024657748024265246,0.038584090814141936,-0.004455231572297658,-0.0001777526672694834,5.851607685918206e-06,1.0014190785418922,1.0207260951082322
2024-01-29,0.024657748024265246,0.042487079093128745,0.012757572721504129,0.0005361775188364075,5.8544824184802135e-06,1.0019560169387403,1.0337480824953125
2024-01-30,0.024657748024265246,0.046394087071020884,0.004979389942291856,0.00022515373857641584,5.860511966838209e-06,1.0021816110818431,1.038895517300153
2024-01-31,0.024657748024265246,0.050305723205952134,-0.014601653760335953,-0.0007404142066190074,5.8674542023968746e-06,1.0014395815793857,1.0237259246633712
2024-02-01,0.024657748024265246,0.054221227570403506,0.024574606240218344,0.00132659206085726,5.873256546677058e-06,1.002768083377737,1.0488835861598769
2024-02-02,0.024657748024265246,0.05811238014132418,0.024050180376352648,0.001391776495641639,5.836728856381011e-06,1.004163712426762,1.0741094256008175
2024-02-05,0.024657748024265246,0.06201092853484355,0.020026024310514368,0.001235984539766067,5.847822590279058e-06,1.0054048432507154,1.0956195670700521
2024-02-06,0.024657748024265246,0.06591480308568297,0.004107031736154454,0.00026485837632901236,5.855811826259126e-06,1.005671133145052,1.1001193114027608
2024-02-07,0.024657748024265246,0.06982319442035882,0.002695835399107338,0.0001823692521951435,5.862587002013781e-06,1.005854536637558,1.1030850519856819
2024-02-08,0.024657748024265246,0.07373644865661817,-0.004913625266540933,-0.00036818315853854634,5.8698813543890255e-06,1.0054841979372284,1.0976649054031014
2024-02-09,0.024657748024265246,0.07765317020431624,-0.015031055900621038,-0.0011730842245230644,5.875082321547098e-06,1.004304680286621,1.0811658428498374
2024-02-12,0.024657748024265246,0.08156928488500906,0.014093832765796455,0.001143749687973887,5.87417202103923e-06,1.0054533534513295,1.0964036134310544
2024-02-13,0.024657748024265246,0.0854592404347068,-0.02732954015483635,-0.0023413966763866805,5.834933324546619e-06,1.0030991883112967,1.0664394068518828
2024-02-14,0.024657748024265246,0.08935868468707411,0.012370540851553535,0.0010995660929839907,5.849166378550964e-06,1.0042021621666637,1.0796318391000506
2024-02-15,0.024657748024265246,0.09317250186222739,0.02008146253670562,0.0018653193798347238,5.720725762729917e-06,1.0060753199210253,1.1013124254303728
2024-02-16,0.024657748024265246,0.0970178300648546,-0.003590553130900287,-0.00035411566579645644,5.767992303940803e-06,1.00571905288927,1.0973581046531444
2024-02-20,0.024657748024265246,0.10088469596395212,-0.02537976453045887,-0.002566230127140685,5.800298848646295e-06,1.0031381463563063,1.069507414351457
2024-02-21,0.024657748024265246,0.10476702798539274,0.010836998788805952,0.0011295366573523394,5.8234980321609234e-06,1.004271227665004,1.0810976649054027
2024-02-22,0.024657748024265246,0.10858205651627648,0.015608248722961404,0.0016890532021603699,5.722542796325607e-06,1.0059674951979292,1.097971706153059
2024-02-23,0.024657748024265246,0.11242840479101207,0.005557452885839531,0.0006190460402440417,5.769522412103392e-06,1.0065902353924456,1.1040736321799893
2024-02-26,0.024657748024265246,0.11629667039666013,0.004631344942571225,0.0005328075978709725,5.802398408472083e-06,1.0071265543178054,1.1091869780126125
2024-02-27,0.024657748024265246,0.11631163171832978,0.006914991702009932,0.0008042715261969811,2.2441982504485535e-08,1.00793655752872,1.1168569967615471
2024-02-28,0.024657748024265246,0.11633437270488219,0.005890791441565124,0.0006852674156099388,3.41114798286038e-08,1.0086272636085964,1.1234361683995222
2024-02-29,0.024657748024265246,0.11636414986499825,0.013351134846461887,0.0015535487904013174,4.466574017410185e-08,1.0101942152739414,1.1384353161752168
2024-03-01,0.024657748024265246,0.11640981714101119,0.008204575398251368,0.0009550246209160614,6.850091401940095e-08,1.011158975621435,1.1477756945628084
2024-03-04,0.024657748024265246,0.1165596815886458,0.005791505791505669,0.0006748312743052469,2.2479667145191423e-07,1.0118413373214787,1.1544230441452183
2024-03-05,0.024657748024265246,0.11667600125960918,-0.015118854274324578,-0.0017641819398613872,1.7447950644507854e-07,1.010056265108171,1.1369694903698646
2024-03-06,0.024657748024265246,0.11676842718859531,0.006296285191736972,0.0007350686800764903,1.3863889347919683e-07,1.010798725833767,1.1441281745355372
2024-03-07,0.024657748024265246,0.11681568610036165,0.013675773917707135,0.0015974740247827403,7.088836764950617e-08,1.01241345054257,1.1597750127833641
2024-03-08,0.024657748024265246,0.11685873969490188,-0.0030274528246430066,-0.00035384890196536284,6.458039181033576e-08,1.0120552091547605,1.1562638486449628
2024-03-11,0.024657748024265246,0.11687696645012652,-0.012441404522538946,-0.0014541409591060737,2.734013283696435e-08,1.0105835382222519,1.141878302369183
2024-03-12,0.024657748024265246,0.11689701315717317,0.0067767262739946155,0.0007921489903531397,3.0070060569979683e-08,1.0113840709517221,1.1496164990625526
2024-03-13,0.024657748024265246,0.11689771316775842,0.012691258450954646,0.0014835780401217084,1.0500158778709024e-09,1.0128845381495148,1.1642065791716372
2024-03-14,0.024657748024265246,0.11690192403109692,0.0011712344811432018,0.00013691324804219606,6.316295007753603e-09,1.0130232154615246,1.1655701380603367
2024-03-15,0.024657748024265246,0.11690773393969289,0.01476953673373882,0.0017266643560175648,8.714862893957621e-09,1.0147723665394803,1.1827850690301678
2024-03-18,0.024657748024265246,0.11694216135982866,0.014208721215090536,0.0016615469279217345,5.164113020364458e-08,1.016458458447644,1.199590932333389
2024-03-19,0.024657748024265246,0.11697165325790242,0.005683432793407217,0.0006647562921779101,4.423784711064111e-08,1.0171341556036346,1.2064087267768866
2024-03-20,0.024657748024265246,0.1169975939615549,0.007205425261373355,0.0008429785079950117,3.891105547872836e-08,1.0179915778365562,1.215101414692346
2024-03-21,0.024657748024265246,0.11702069887388254,0.022752139149951,0.0026624365668345986,3.4657368491460006e-08,1.0207019158381179,1.2427475711607285
2024-03-22,0.024657748024265246,0.11704007486098973,-0.017692560895325893,-0.002070767715652223,2.906398066078453e-08,1.018588279263496,1.220760184080449
2024-03-25,0.024657748024265246,0.11705560817281718,-0.0060316662478010485,-0.0007060636608995472,2.329996774117632e-08,1.0178690910940897,1.2133969660814714
2024-03-26,0.024657748024265246,0.11703407948852225,0.0012361286697570861,0.00014463688796794967,3.229302644239956e-08,1.0180163125117843,1.214896880859041
2024-03-27,0.024657748024265246,0.11706363549210577,0.02317685681416415,0.0027131227839406647,4.4334005375283595e-08,1.0207783157636834,1.2430543719106857
2024-03-28,0.024657748024265246,0.11709423369151827,0.004881393116687338,0.0005715370890464371,4.58972991187398e-08,1.0213617284308367,1.2491222089653986
2024-04-01,0.024657748024265246,0.11721560349286456,-0.007341101984007836,-0.0008606737540601633,1.8205470201943658e-07,1.0204826691977749,1.2399522754388945
2024-04-02,0.024657748024265246,0.11731137798912476,0.002996645955902544,0.0003513970046880751,1.436617443903096e-07,1.0208412637510669,1.2436679734106006
2024-04-03,0.024657748024265246,0.11738289085389128,0.030041389140147645,0.003526237833240076,1.0726929714977713e-07,1.0244409928370386,1.2810294869609673
2024-04-04,0.024657748024265246,0.11744399592547718,-0.015966364192767202,-0.001875245268807415,9.16576073788436e-08,1.0225199147120485,1.2605761036304748
2024-04-05,0.024657748024265246,0.11757206365426565,0.025717299007544714,0.003023443814337647,1.9210159318270444e-07,1.0256114462232218,1.2929947162093054
2024-04-08,0.024657748024265246,0.11763928184094953,-0.015370419193250662,-0.0018082659027683805,1.008272800258267e-07,1.0237568680155273,1.2731208454065102
2024-04-09,0.024657748024265246,0.11769394523165826,-0.0042038182451068495,-0.0004948459493895144,8.199508606308858e-08,1.0232502660762302,1.2677688767683644
2024-04-10,0.024657748024265246,0.1176988670020422,0.00045711212691590397,5.37941967753197e-05,7.382655575913222e-09,1.0233053110023937,1.2683483892960616
2024-04-11,0.024657748024265246,0.1177057749478514,-0.000241889966941633,-2.848220792968886e-05,1.036191871379294e-08,1.0232761650077502,1.2680415885461043
2024-04-12,0.029828726354800987,0.11771649144213292,-0.01707081025861612,-0.002009531964460082,1.6074741422289484e-08,1.021219858845697,1.2463950911879995
