period,available_date,hs_code,series,export_value,export_weight,export_unit_price_weight
2018-04,2018-05-01,8542323000,MCP / HBM proxy,1956728731.0,34636.0,56494.073536205105
2018-04,2018-05-01,8542321030,NAND Flash,571267389.0,50996.0,11202.199956859362
2018-05,2018-06-01,8542321010,DRAM,3157384461.0,93111.0,33909.89744498502
2018-05,2018-06-01,8542311000,Logic comparator,1556486970.0,526560.0,2955.953680492252
2018-05,2018-06-01,8542323000,MCP / HBM proxy,1729075290.0,39523.0,43748.58411557827
2018-05,2018-06-01,8542321030,NAND Flash,704622405.0,54945.0,12824.140595140596
2018-06,2018-07-01,8542321010,DRAM,3155601679.0,93190.0,33862.02037772293
2018-06,2018-07-01,8542311000,Logic comparator,1536459219.0,514558.0,2985.978682675228
2018-06,2018-07-01,8542323000,MCP / HBM proxy,1757805851.0,37165.0,47297.3456477869
2018-06,2018-07-01,8542321030,NAND Flash,702933870.0,55163.0,12742.8506426409
2018-07,2018-08-01,8542321010,DRAM,3056760524.0,90523.0,33767.77751510666
2018-07,2018-08-01,8542311000,Logic comparator,1570785007.0,572306.0,2744.6593378367515
2018-07,2018-08-01,8542323000,MCP / HBM proxy,1341674378.0,36584.0,36673.80215394708
2018-07,2018-08-01,8542321030,NAND Flash,573100209.0,48780.0,11748.671771217712
2018-08,2018-09-01,8542321010,DRAM,3236846367.0,82876.0,39056.498467590136
2018-08,2018-09-01,8542311000,Logic comparator,1672115954.0,578185.0,2892.008533600837
2018-08,2018-09-01,8542323000,MCP / HBM proxy,1823559499.0,37706.0,48362.58152548666
2018-08,2018-09-01,8542321030,NAND Flash,595931108.0,52181.0,11420.461623962745
2018-09,2018-10-01,8542321010,DRAM,3544917427.0,88538.0,40038.37252930945
2018-09,2018-10-01,8542311000,Logic comparator,1591948474.0,550686.0,2890.846097413045
2018-09,2018-10-01,8542323000,MCP / HBM proxy,2011168305.0,34959.0,57529.34308761692
2018-09,2018-10-01,8542321030,NAND Flash,739130146.0,63082.0,11716.973875273454
2018-10,2018-11-01,8542321010,DRAM,3202555667.0,85016.0,37670.034664063234
2018-10,2018-11-01,8542311000,Logic comparator,1601205808.0,573363.0,2792.6563241785743
2018-10,2018-11-01,8542323000,MCP / HBM proxy,1862782893.0,28466.0,65438.87068783812
2018-10,2018-11-01,8542321030,NAND Flash,714521320.0,60862.0,11740.023660083467
2018-11,2018-12-01,8542321010,DRAM,2758640227.0,75281.0,36644.57468683997
2018-11,2018-12-01,8542311000,Logic comparator,1501213606.0,540277.0,2778.5998774702607
2018-11,2018-12-01,8542323000,MCP / HBM proxy,1837131648.0,29550.0,62170.27573604061
2018-11,2018-12-01,8542321030,NAND Flash,655354855.0,58555.0,11192.124583724702
2018-12,2019-01-01,8542321010,DRAM,1800078893.0,67243.0,26769.758829915383
2018-12,2019-01-01,8542311000,Logic comparator,1328610425.0,515189.0,2578.879644169421
2018-12,2019-01-01,8542323000,MCP / HBM proxy,1447303633.0,24868.0,58199.438354511825
2018-12,2019-01-01,8542321030,NAND Flash,620022609.0,56851.0,10906.098555874127
2019-01,2019-02-01,8542321010,DRAM,1668089538.0,65464.0,25481.02068312355
2019-01,2019-02-01,8542311000,Logic comparator,1411976702.0,514358.0,2745.124411402175
2019-01,2019-02-01,8542323000,MCP / HBM proxy,1245728975.0,24199.0,51478.531137650316
2019-01,2019-02-01,8542321030,NAND Flash,413164266.0,41519.0,9951.209470362966
2019-02,2019-03-01,8542321010,DRAM,1398907040.0,66034.0,21184.647908653118
2019-02,2019-03-01,8542311000,Logic comparator,1131477476.0,424948.0,2662.6257236179486
2019-02,2019-03-01,8542323000,MCP / HBM proxy,1186938435.0,22842.0,51962.98200682952
2019-02,2019-03-01,8542321030,NAND Flash,370562538.0,39714.0,9330.778516392204
2019-03,2019-04-01,8542321010,DRAM,1821335937.0,79117.0,23020.791195318325
2019-03,2019-04-01,8542311000,Logic comparator,1235585829.0,506869.0,2437.6827720772035
2019-03,2019-04-01,8542323000,MCP / HBM proxy,1900004592.0,33323.0,57017.81328211746
2019-03,2019-04-01,8542321030,NAND Flash,592383221.0,59232.0,10001.067345353862
2019-04,2019-05-01,8542321010,DRAM,1920969134.0,79502.0,24162.52589871953
2019-04,2019-05-01,8542311000,Logic comparator,1291303969.0,510395.0,2530.0090498535446
2019-04,2019-05-01,8542323000,MCP / HBM proxy,1591573857.0,26448.0,60177.47493194192
2019-04,2019-05-01,8542321030,NAND Flash,670060391.0,64060.0,10459.887464876678
2019-05,2019-06-01,8542321010,DRAM,1473729225.0,78041.0,18884.03819787035
2019-05,2019-06-01,8542311000,Logic comparator,1352243653.0,553084.0,2444.915515545559
2019-05,2019-06-01,8542323000,MCP / HBM proxy,1461986178.0,25629.0,57044.2146786843
2019-05,2019-06-01,8542321030,NAND Flash,472438215.0,52683.0,8967.56477421559
2019-06,2019-07-01,8542321010,DRAM,1609526360.0,87233.0,18450.888539887426
2019-06,2019-07-01,8542311000,Logic comparator,1372973157.0,533386.0,2574.0704799151085
2019-06,2019-07-01,8542323000,MCP / HBM proxy,1992454785.0,34627.0,57540.49686660698
2019-06,2019-07-01,8542321030,NAND Flash,438676436.0,52803.0,8307.79379959472
2019-07,2019-08-01,8542321010,DRAM,1542510072.0,86185.0,17897.662841561756
2019-07,2019-08-01,8542311000,Logic comparator,1550175449.0,545412.0,2842.2100155478793
2019-07,2019-08-01,8542323000,MCP / HBM proxy,1435092192.0,31350.0,45776.465454545454
2019-07,2019-08-01,8542321030,NAND Flash,498306722.0,53563.0,9303.189179097511
2019-08,2019-09-01,8542321010,DRAM,1488749530.0,86799.0,17151.68988121983
2019-08,2019-09-01,8542311000,Logic comparator,1515918645.0,531280.0,2853.332790618883
2019-08,2019-09-01,8542323000,MCP / HBM proxy,1766424595.0,37630.0,46941.92386393835
2019-08,2019-09-01,8542321030,NAND Flash,482809111.0,52806.0,9143.072965193349
2019-09,2019-10-01,8542321010,DRAM,1449764530.0,88828.0,16321.030868645023
2019-09,2019-10-01,8542311000,Logic comparator,1626498721.0,532024.0,3057.190504563704
2019-09,2019-10-01,8542323000,MCP / HBM proxy,1967455691.0,49156.0,40024.73128407519
2019-09,2019-10-01,8542321030,NAND Flash,401511428.0,48815.0,8225.164969783878
2019-10,2019-11-01,8542321010,DRAM,1424454514.0,102680.0,13872.755298013246
2019-10,2019-11-01,8542311000,Logic comparator,1569055077.0,499576.0,3140.7735299534006
2019-10,2019-11-01,8542323000,MCP / HBM proxy,1609505323.0,49283.0,32658.42832213948
2019-10,2019-11-01,8542321030,NAND Flash,512703412.0,49926.0,10269.2667547971
2019-11,2019-12-01,8542321010,DRAM,1400432155.0,93868.0,14919.16473132484
2019-11,2019-12-01,8542311000,Logic comparator,1391265108.0,443443.0,3137.4158753210672
2019-11,2019-12-01,8542323000,MCP / HBM proxy,1501909044.0,46787.0,32100.990531557913
2019-11,2019-12-01,8542321030,NAND Flash,446251727.0,47392.0,9416.182625759622
2019-12,2020-01-01,8542321010,DRAM,1322210845.0,83804.0,15777.41927592955
2019-12,2020-01-01,8542311000,Logic comparator,1370358122.0,462052.0,2965.809307177547
2019-12,2020-01-01,8542323000,MCP / HBM proxy,1773119529.0,50208.0,35315.47819072658
2019-12,2020-01-01,8542321030,NAND Flash,383428749.0,42116.0,9104.111240383701
2020-01,2020-02-01,8542321010,DRAM,1316193331.0,85111.0,15464.432693776364
2020-01,2020-02-01,8542311000,Logic comparator,1481309455.0,492175.0,3009.7210443439835
2020-01,2020-02-01,8542323000,MCP / HBM proxy,1299516735.0,39856.0,32605.2974458049
2020-01,2020-02-01,8542321030,NAND Flash,565558830.0,52727.0,10726.171221575283
2020-02,2020-03-01,8542321010,DRAM,1379236449.0,80101.0,17218.716982309834
2020-02,2020-03-01,8542311000,Logic comparator,1404415440.0,475917.0,2950.9671644425393
2020-02,2020-03-01,8542323000,MCP / HBM proxy,1512715753.0,45673.0,33120.56911085324
2020-02,2020-03-01,8542321030,NAND Flash,496412423.0,52383.0,9476.593990416739
2020-03,2020-04-01,8542321010,DRAM,1547462432.0,89243.0,17339.87463442511
2020-03,2020-04-01,8542311000,Logic comparator,1641729913.0,558557.0,2939.2343359764536
2020-03,2020-04-01,8542323000,MCP / HBM proxy,2019040661.0,43742.0,46157.941132092725
2020-03,2020-04-01,8542321030,NAND Flash,489483650.0,49108.0,9967.493076484483
2020-04,2020-05-01,8542321010,DRAM,1606693608.0,82427.0,19492.321787763718
2020-04,2020-05-01,8542311000,Logic comparator,1181038613.0,454334.0,2599.4942333173394
2020-04,2020-05-01,8542323000,MCP / HBM proxy,1442869499.0,37759.0,38212.598294446354
2020-04,2020-05-01,8542321030,NAND Flash,532604631.0,48906.0,10890.374003189792
2020-05,2020-06-01,8542321010,DRAM,1729492217.0,102723.0,16836.46522200481
2020-05,2020-06-01,8542311000,Logic comparator,1332655841.0,470254.0,2833.9064441769765
2020-05,2020-06-01,8542323000,MCP / HBM proxy,2118867440.0,49620.0,42701.88311164853
2020-05,2020-06-01,8542321030,NAND Flash,477943516.0,40734.0,11733.28217214121
2020-06,2020-07-01,8542321010,DRAM,1742598810.0,127177.0,13702.153769942679
2020-06,2020-07-01,8542311000,Logic comparator,1437918589.0,496650.0,2895.2352542031613
2020-06,2020-07-01,8542323000,MCP / HBM proxy,1904275458.0,52865.0,36021.478445096
2020-06,2020-07-01,8542321030,NAND Flash,480546112.0,46436.0,10348.568179860453
2020-07,2020-08-01,8542321010,DRAM,1710712981.0,131768.0,12982.765018820957
2020-07,2020-08-01,8542311000,Logic comparator,1518159506.0,546610.0,2777.4089497082014
2020-07,2020-08-01,8542323000,MCP / HBM proxy,1573800930.0,50013.0,31467.836962389778
2020-07,2020-08-01,8542321030,NAND Flash,492063828.0,41610.0,11825.614708002884
2020-08,2020-09-01,8542321010,DRAM,1656460521.0,143355.0,11554.954630114053
2020-08,2020-09-01,8542311000,Logic comparator,1665940145.0,568205.0,2931.9350322506843
2020-08,2020-09-01,8542323000,MCP / HBM proxy,1776264041.0,55295.0,32123.411538113753
2020-08,2020-09-01,8542321030,NAND Flash,503100283.0,43566.0,11548.00263967314
2020-09,2020-10-01,8542321010,DRAM,1722417618.0,169275.0,10175.262844483828
2020-09,2020-10-01,8542311000,Logic comparator,1704635633.0,584138.0,2918.207055524551
2020-09,2020-10-01,8542323000,MCP / HBM proxy,2257649470.0,65142.0,34657.3557766111
2020-09,2020-10-01,8542321030,NAND Flash,581809584.0,53207.0,10934.831582310599
2020-10,2020-11-01,8542321010,DRAM,1708850579.0,167472.0,10203.798718591765
2020-10,2020-11-01,8542311000,Logic comparator,1582575459.0,538026.0,2941.4479207324553
2020-10,2020-11-01,8542323000,MCP / HBM proxy,1961928520.0,57034.0,34399.279727881614
2020-10,2020-11-01,8542321030,NAND Flash,505395551.0,46871.0,10782.691877706897
2020-11,2020-12-01,8542321010,DRAM,1545290464.0,182857.0,8450.813827198303
2020-11,2020-12-01,8542311000,Logic comparator,1726922970.0,533735.0,3235.543799825756
2020-11,2020-12-01,8542323000,MCP / HBM proxy,1918170533.0,57980.0,33083.31378061401
2020-11,2020-12-01,8542321030,NAND Flash,500733046.0,54992.0,9105.56164533023
2020-12,2021-01-01,8542321010,DRAM,1361206326.0,115196.0,11816.43742838293
2020-12,2021-01-01,8542311000,Logic comparator,1875190403.0,542980.0,3453.516525470551
2020-12,2021-01-01,8542323000,MCP / HBM proxy,2387669212.0,71279.0,33497.512759718855
2020-12,2021-01-01,8542321030,NAND Flash,679302439.0,64983.0,10453.54075681332
2021-01,2021-02-01,8542321010,DRAM,1497226281.0,112614.0,13295.205578347275
2021-01,2021-02-01,8542311000,Logic comparator,1735082737.0,565315.0,3069.231732750767
2021-01,2021-02-01,8542323000,MCP / HBM proxy,2073236577.0,59762.0,34691.552776011515
2021-01,2021-02-01,8542321030,NAND Flash,488969557.0,50861.0,9613.840801399894
2021-02,2021-03-01,8542321010,DRAM,1526633720.0,154410.0,9886.883751052394
2021-02,2021-03-01,8542311000,Logic comparator,1720371988.0,513861.0,3347.932588774007
2021-02,2021-03-01,8542323000,MCP / HBM proxy,2142781466.0,63474.0,33758.412357815796
2021-02,2021-03-01,8542321030,NAND Flash,459703191.0,46545.0,9876.532194650339
2021-03,2021-04-01,8542321010,DRAM,1785261687.0,170200.0,10489.199101057578
2021-03,2021-04-01,8542311000,Logic comparator,1794294975.0,587823.0,3052.4409133361573
2021-03,2021-04-01,8542323000,MCP / HBM proxy,2543431438.0,74798.0,34004.00328885799
2021-03,2021-04-01,8542321030,NAND Flash,441894394.0,53049.0,8329.928820524421
2021-04,2021-05-01,8542321010,DRAM,1858230153.0,155028.0,11986.416344144283
2021-04,2021-05-01,8542311000,Logic comparator,1835410862.0,565375.0,3246.360136192792
2021-04,2021-05-01,8542323000,MCP / HBM proxy,2195578967.0,66130.0,33200.952169968245
2021-04,2021-05-01,8542321030,NAND Flash,491393546.0,48756.0,10078.627163836245
2021-05,2021-06-01,8542321010,DRAM,1946726364.0,161139.0,12081.037886545157
2021-05,2021-06-01,8542311000,Logic comparator,1941631622.0,580139.0,3346.838640394802
2021-05,2021-06-01,8542323000,MCP / HBM proxy,2730603865.0,82997.0,32900.030904731495
2021-05,2021-06-01,8542321030,NAND Flash,587405784.0,53677.0,10943.342288130856
2021-06,2021-07-01,8542321010,DRAM,2176813167.0,126963.0,17145.25623213062
